Direct operations (ISIC Section),Direct operations (ISIC Division),Direct operations (ISIC Group/Class),ISIC level used for direct operations,Downstream tier 1 (ISIC Division/Group/Class),ISIC level used for downstream tier 1 link,Downstream tier 2 (ISIC Division/Group/Class),ISIC level used for downstream tier 2 link
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of sugar cane,ISIC Class,Food and beverage service activities,ISIC Division,Construction of buildings,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of sugar cane,ISIC Class,Food and beverage service activities,ISIC Division,Civil engineering,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of sugar cane,ISIC Class,Accommodation,ISIC Division,Specialized construction activities,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of sugar cane,ISIC Class,Accommodation,ISIC Division,Construction of buildings,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of sugar cane,ISIC Class,Accommodation,ISIC Division,Civil engineering,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of sugar cane,ISIC Class,Food and beverage service activities,ISIC Division,"Financial service activities, except insurance and pension funding",ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of sugar cane,ISIC Class,Accommodation,ISIC Division,"Financial service activities, except insurance and pension funding",ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of fibre crops,ISIC Class,Final consumption category,Final consumption category,Final consumption category,Final consumption category
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of fibre crops,ISIC Class,Growing of fibre crops,ISIC Class,Manufacture of wearing apparel,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of fibre crops,ISIC Class,Growing of fibre crops,ISIC Class,Manufacture of textiles,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of fibre crops,ISIC Class,Post-harvest crop activities,ISIC Class,Manufacture of wearing apparel,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of fibre crops,ISIC Class,Post-harvest crop activities,ISIC Class,Manufacture of textiles,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of fibre crops,ISIC Class,Seed processing for propagation,ISIC Class,Manufacture of wearing apparel,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of fibre crops,ISIC Class,Seed processing for propagation,ISIC Class,Manufacture of textiles,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,Growing of fibre crops,ISIC Class,Manufacture of wearing apparel,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,Growing of fibre crops,ISIC Class,Manufacture of textiles,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,Post-harvest crop activities,ISIC Class,Manufacture of wearing apparel,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,Post-harvest crop activities,ISIC Class,Manufacture of textiles,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,Seed processing for propagation,ISIC Class,Manufacture of wearing apparel,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,Seed processing for propagation,ISIC Class,Manufacture of textiles,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,Growing of fibre crops,ISIC Class,Manufacture of wearing apparel,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,Growing of fibre crops,ISIC Class,Manufacture of textiles,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,Post-harvest crop activities,ISIC Class,Manufacture of wearing apparel,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,Post-harvest crop activities,ISIC Class,Manufacture of textiles,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,Seed processing for propagation,ISIC Class,Manufacture of wearing apparel,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,Seed processing for propagation,ISIC Class,Manufacture of textiles,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Seed processing for propagation,ISIC Class,Growing of fibre crops,ISIC Class,Manufacture of wearing apparel,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Seed processing for propagation,ISIC Class,Growing of fibre crops,ISIC Class,Manufacture of textiles,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Seed processing for propagation,ISIC Class,Post-harvest crop activities,ISIC Class,Manufacture of wearing apparel,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Seed processing for propagation,ISIC Class,Post-harvest crop activities,ISIC Class,Manufacture of textiles,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Seed processing for propagation,ISIC Class,Seed processing for propagation,ISIC Class,Manufacture of wearing apparel,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Seed processing for propagation,ISIC Class,Seed processing for propagation,ISIC Class,Manufacture of textiles,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Support activities for crop production,ISIC Class,Growing of fibre crops,ISIC Class,Manufacture of wearing apparel,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Support activities for crop production,ISIC Class,Growing of fibre crops,ISIC Class,Manufacture of textiles,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Support activities for crop production,ISIC Class,Post-harvest crop activities,ISIC Class,Manufacture of wearing apparel,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Support activities for crop production,ISIC Class,Post-harvest crop activities,ISIC Class,Manufacture of textiles,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Support activities for crop production,ISIC Class,Seed processing for propagation,ISIC Class,Manufacture of wearing apparel,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Support activities for crop production,ISIC Class,Seed processing for propagation,ISIC Class,Manufacture of textiles,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of fibre crops,ISIC Class,Growing of fibre crops,ISIC Class,Growing of fibre crops,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of fibre crops,ISIC Class,Growing of fibre crops,ISIC Class,Post-harvest crop activities,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of fibre crops,ISIC Class,Growing of fibre crops,ISIC Class,Seed processing for propagation,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of fibre crops,ISIC Class,Post-harvest crop activities,ISIC Class,Growing of fibre crops,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of fibre crops,ISIC Class,Post-harvest crop activities,ISIC Class,Post-harvest crop activities,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of fibre crops,ISIC Class,Post-harvest crop activities,ISIC Class,Seed processing for propagation,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of fibre crops,ISIC Class,Seed processing for propagation,ISIC Class,Growing of fibre crops,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of fibre crops,ISIC Class,Seed processing for propagation,ISIC Class,Post-harvest crop activities,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of fibre crops,ISIC Class,Seed processing for propagation,ISIC Class,Seed processing for propagation,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,Growing of fibre crops,ISIC Class,Growing of fibre crops,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,Growing of fibre crops,ISIC Class,Post-harvest crop activities,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,Growing of fibre crops,ISIC Class,Seed processing for propagation,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,Post-harvest crop activities,ISIC Class,Growing of fibre crops,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,Seed processing for propagation,ISIC Class,Growing of fibre crops,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,Growing of fibre crops,ISIC Class,Growing of fibre crops,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,Growing of fibre crops,ISIC Class,Post-harvest crop activities,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,Growing of fibre crops,ISIC Class,Seed processing for propagation,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,Post-harvest crop activities,ISIC Class,Growing of fibre crops,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,Seed processing for propagation,ISIC Class,Growing of fibre crops,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Seed processing for propagation,ISIC Class,Growing of fibre crops,ISIC Class,Growing of fibre crops,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Seed processing for propagation,ISIC Class,Growing of fibre crops,ISIC Class,Post-harvest crop activities,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Seed processing for propagation,ISIC Class,Growing of fibre crops,ISIC Class,Seed processing for propagation,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Seed processing for propagation,ISIC Class,Post-harvest crop activities,ISIC Class,Growing of fibre crops,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Seed processing for propagation,ISIC Class,Seed processing for propagation,ISIC Class,Growing of fibre crops,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Support activities for crop production,ISIC Class,Growing of fibre crops,ISIC Class,Growing of fibre crops,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Support activities for crop production,ISIC Class,Growing of fibre crops,ISIC Class,Post-harvest crop activities,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Support activities for crop production,ISIC Class,Growing of fibre crops,ISIC Class,Seed processing for propagation,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Support activities for crop production,ISIC Class,Post-harvest crop activities,ISIC Class,Growing of fibre crops,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Support activities for crop production,ISIC Class,Seed processing for propagation,ISIC Class,Growing of fibre crops,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of fibre crops,ISIC Class,Growing of fibre crops,ISIC Class,Manufacture of chemicals and chemical products,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of fibre crops,ISIC Class,Growing of fibre crops,ISIC Class,Manufacture of basic pharmaceutical products and pharmaceutical preparations,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of fibre crops,ISIC Class,Post-harvest crop activities,ISIC Class,Manufacture of chemicals and chemical products,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of fibre crops,ISIC Class,Post-harvest crop activities,ISIC Class,Manufacture of basic pharmaceutical products and pharmaceutical preparations,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of fibre crops,ISIC Class,Seed processing for propagation,ISIC Class,Manufacture of chemicals and chemical products,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of fibre crops,ISIC Class,Seed processing for propagation,ISIC Class,Manufacture of basic pharmaceutical products and pharmaceutical preparations,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,Growing of fibre crops,ISIC Class,Manufacture of chemicals and chemical products,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,Growing of fibre crops,ISIC Class,Manufacture of basic pharmaceutical products and pharmaceutical preparations,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,Growing of fibre crops,ISIC Class,Manufacture of chemicals and chemical products,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,Growing of fibre crops,ISIC Class,Manufacture of basic pharmaceutical products and pharmaceutical preparations,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Seed processing for propagation,ISIC Class,Growing of fibre crops,ISIC Class,Manufacture of chemicals and chemical products,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Seed processing for propagation,ISIC Class,Growing of fibre crops,ISIC Class,Manufacture of basic pharmaceutical products and pharmaceutical preparations,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Support activities for crop production,ISIC Class,Growing of fibre crops,ISIC Class,Manufacture of chemicals and chemical products,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Support activities for crop production,ISIC Class,Growing of fibre crops,ISIC Class,Manufacture of basic pharmaceutical products and pharmaceutical preparations,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of fibre crops,ISIC Class,Growing of fibre crops,ISIC Class,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of fibre crops,ISIC Class,Post-harvest crop activities,ISIC Class,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of fibre crops,ISIC Class,Seed processing for propagation,ISIC Class,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,Growing of fibre crops,ISIC Class,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,Post-harvest crop activities,ISIC Class,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,Seed processing for propagation,ISIC Class,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,Growing of fibre crops,ISIC Class,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,Post-harvest crop activities,ISIC Class,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,Seed processing for propagation,ISIC Class,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Seed processing for propagation,ISIC Class,Growing of fibre crops,ISIC Class,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Seed processing for propagation,ISIC Class,Post-harvest crop activities,ISIC Class,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Seed processing for propagation,ISIC Class,Seed processing for propagation,ISIC Class,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Support activities for crop production,ISIC Class,Growing of fibre crops,ISIC Class,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Support activities for crop production,ISIC Class,Post-harvest crop activities,ISIC Class,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Support activities for crop production,ISIC Class,Seed processing for propagation,ISIC Class,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of fibre crops,ISIC Class,Manufacture of wearing apparel,ISIC Division,Manufacture of wearing apparel,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of fibre crops,ISIC Class,Manufacture of wearing apparel,ISIC Division,Manufacture of textiles,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of fibre crops,ISIC Class,Manufacture of textiles,ISIC Division,Manufacture of wearing apparel,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of fibre crops,ISIC Class,Manufacture of textiles,ISIC Division,Manufacture of textiles,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of fibre crops,ISIC Class,Manufacture of wearing apparel,ISIC Division,Repair and installation of machinery and equipment,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of fibre crops,ISIC Class,Manufacture of wearing apparel,ISIC Division,"Manufacture of computer, electronic and optical products",ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of fibre crops,ISIC Class,Manufacture of wearing apparel,ISIC Division,Manufacture of furniture,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of fibre crops,ISIC Class,Manufacture of wearing apparel,ISIC Division,Other manufacturing,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of fibre crops,ISIC Class,Manufacture of wearing apparel,ISIC Division,Repair of computers and personal and household goods,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of fibre crops,ISIC Class,Manufacture of textiles,ISIC Division,Repair and installation of machinery and equipment,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of fibre crops,ISIC Class,Manufacture of textiles,ISIC Division,"Manufacture of computer, electronic and optical products",ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of fibre crops,ISIC Class,Manufacture of textiles,ISIC Division,Manufacture of furniture,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of fibre crops,ISIC Class,Manufacture of textiles,ISIC Division,Other manufacturing,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of fibre crops,ISIC Class,Manufacture of textiles,ISIC Division,Repair of computers and personal and household goods,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of fibre crops,ISIC Class,Manufacture of wearing apparel,ISIC Division,Scientific research and development,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of fibre crops,ISIC Class,Manufacture of textiles,ISIC Division,Scientific research and development,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of fibre crops,ISIC Class,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division,Repair and installation of machinery and equipment,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of fibre crops,ISIC Class,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division,"Manufacture of computer, electronic and optical products",ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of fibre crops,ISIC Class,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division,Manufacture of furniture,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of fibre crops,ISIC Class,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division,Other manufacturing,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of fibre crops,ISIC Class,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division,Repair of computers and personal and household goods,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division,Repair and installation of machinery and equipment,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division,"Manufacture of computer, electronic and optical products",ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division,Manufacture of furniture,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division,Other manufacturing,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division,Repair of computers and personal and household goods,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division,Repair and installation of machinery and equipment,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division,"Manufacture of computer, electronic and optical products",ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division,Manufacture of furniture,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division,Other manufacturing,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division,Repair of computers and personal and household goods,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Seed processing for propagation,ISIC Class,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division,Repair and installation of machinery and equipment,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Seed processing for propagation,ISIC Class,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division,"Manufacture of computer, electronic and optical products",ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Seed processing for propagation,ISIC Class,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division,Manufacture of furniture,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Seed processing for propagation,ISIC Class,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division,Other manufacturing,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Seed processing for propagation,ISIC Class,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division,Repair of computers and personal and household goods,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Support activities for crop production,ISIC Class,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division,Repair and installation of machinery and equipment,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Support activities for crop production,ISIC Class,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division,"Manufacture of computer, electronic and optical products",ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Support activities for crop production,ISIC Class,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division,Manufacture of furniture,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Support activities for crop production,ISIC Class,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division,Other manufacturing,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Support activities for crop production,ISIC Class,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division,Repair of computers and personal and household goods,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of fibre crops,ISIC Class,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division,Specialized construction activities,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of fibre crops,ISIC Class,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division,Construction of buildings,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of fibre crops,ISIC Class,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division,Civil engineering,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division,Specialized construction activities,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division,Construction of buildings,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division,Civil engineering,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division,Specialized construction activities,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division,Construction of buildings,ISIC Division
